family,dimension,size_a,size_b,wilcoxon_T,p_raw,p_holm,rank_biserial_r,n_pairs
deepseek-qwen,Long_Term_Orientation,14.0,32.0,4494.0,7.346400048608574e-05,0.0004407840029165144,0.3437020810514786,423
deepseek-qwen,Masculinity,1.5,7.0,13131.0,1.1372957573260005e-07,6.823774543956003e-07,0.35561280824438724,411
deepseek-qwen,Masculinity,1.5,8.0,10491.0,5.602298482716611e-10,4.481838786173289e-09,0.4264862648626486,402
deepseek-qwen,Masculinity,1.5,14.0,15835.5,0.004942248042216423,0.01741489336335749,0.18917050691244242,423
deepseek-qwen,Masculinity,1.5,32.0,18780.0,0.3808335662760097,0.4027766706785313,0.05871738966994966,420
deepseek-qwen,Masculinity,7.0,8.0,11280.0,0.4027766706785313,0.4027766706785313,0.06351183063511834,402
deepseek-qwen,Masculinity,7.0,14.0,9684.0,1.5119784136803365e-05,7.559892068401682e-05,0.313264546324859,423
deepseek-qwen,Masculinity,7.0,32.0,6538.5,1.0713224151621078e-10,9.64190173645897e-10,0.4856637168141593,420
deepseek-qwen,Masculinity,8.0,14.0,7326.0,1.137161192904344e-08,7.960128350330409e-08,0.4237168141592921,414
deepseek-qwen,Masculinity,8.0,32.0,5229.0,1.8787276522647003e-14,1.8787276522647004e-13,0.5775057568779542,411
deepseek-qwen,Masculinity,14.0,32.0,7954.5,0.005804964454452497,0.01741489336335749,0.21634402246194773,432
deepseek-qwen,Power_Distance,1.5,7.0,15846.0,0.09178278166139418,0.09178278166139418,0.114204259600872,441
deepseek-qwen,Power_Distance,1.5,8.0,13018.5,0.0012865295014372607,0.005146118005749043,0.22070575558947647,435
deepseek-qwen,Power_Distance,1.5,14.0,7711.5,1.7144500918830262e-09,1.371560073506421e-08,0.43906164757228583,444
deepseek-qwen,Power_Distance,1.5,32.0,11829.0,7.291729270265344e-05,0.0003645864635132672,0.27518382352941173,441
deepseek-qwen,Power_Distance,7.0,8.0,9735.0,1.8463349723678193e-08,1.2924344806574736e-07,0.3892339544513458,441
deepseek-qwen,Power_Distance,7.0,14.0,5808.0,4.530639301822855e-08,2.7183835810937133e-07,0.4278114378602039,447
deepseek-qwen,Power_Distance,7.0,32.0,12042.0,0.003320641864990708,0.009961925594972124,0.2072677002073664,444
deepseek-qwen,Power_Distance,8.0,14.0,5289.0,1.9172706236344144e-22,1.9172706236344145e-21,0.6759191176470588,441
deepseek-qwen,Power_Distance,8.0,32.0,8001.0,3.2232891265960696e-13,2.900960213936463e-12,0.5097426470588236,438
deepseek-qwen,Power_Distance,14.0,32.0,8370.0,0.022941199806173124,0.04588239961234625,0.17541007832126498,447
deepseek-qwen,Uncertainty_Avoidance,1.5,7.0,16389.0,0.12586562630995227,0.3884550291186393,0.10405904059040594,423
deepseek-qwen,Uncertainty_Avoidance,1.5,8.0,13360.5,0.2835336091002689,0.4392734728565475,0.0760373443983402,423
deepseek-qwen,Uncertainty_Avoidance,1.5,14.0,15283.5,0.002474094964486276,0.016165169749846452,0.20036101083032487,432
deepseek-qwen,Uncertainty_Avoidance,1.5,32.0,16819.5,0.1294850097062131,0.3884550291186393,0.10058554584102031,432
deepseek-qwen,Uncertainty_Avoidance,7.0,8.0,15084.0,0.4392734728565475,0.4392734728565475,0.053642010163749254,426
deepseek-qwen,Uncertainty_Avoidance,7.0,14.0,10164.0,4.278806210316776e-08,4.2788062103167757e-07,0.37720588235294117,435
deepseek-qwen,Uncertainty_Avoidance,7.0,32.0,10891.5,0.00046781268380286206,0.0037425014704228965,0.24678423236514524,435
deepseek-qwen,Uncertainty_Avoidance,8.0,14.0,6294.0,3.0374309745106755e-07,2.733687877059608e-06,0.39799139167862263,435
deepseek-qwen,Uncertainty_Avoidance,8.0,32.0,8029.5,0.018829590817148904,0.09414795408574453,0.18486371250190348,435
deepseek-qwen,Uncertainty_Avoidance,14.0,32.0,6847.5,0.002694194958307742,0.016165169749846452,0.23725981620718462,444
gemma,Individualism,1.0,4.0,3397.5,0.004505443723874596,0.01621878968812243,0.2598039215686274,396
gemma,Individualism,1.0,12.0,1990.5,0.005406263229374144,0.01621878968812243,0.2846361185983828,396
gemma,Individualism,1.0,27.0,4092.0,0.24865903863263983,0.24865903863263983,0.10849673202614374,396
gemma,Individualism,4.0,12.0,1696.5,3.513815930752304e-09,2.1082895584513823e-08,0.55507474429583,396
gemma,Individualism,4.0,27.0,2986.5,0.17912553462896263,0.24865903863263983,0.13472403302911773,396
gemma,Individualism,12.0,27.0,1515.0,5.504239352948129e-05,0.00027521196764740646,0.42318675042832665,396
gemma,Indulgence,1.0,4.0,2494.5,1.6123042067590765e-12,6.449216827036306e-12,0.5765215176979883,417
gemma,Indulgence,1.0,12.0,3048.0,0.0021662567678448885,0.0021662567678448885,0.2729874776386404,417
gemma,Indulgence,1.0,27.0,3564.0,8.249804629539797e-08,2.474941388861939e-07,0.439622641509434,417
gemma,Indulgence,4.0,12.0,810.0,3.9667293529613236e-22,1.9833646764806617e-21,0.838178004195385,417
gemma,Indulgence,4.0,27.0,1312.5,6.175712856466815e-29,3.705427713880089e-28,0.8440841054882395,417
gemma,Indulgence,12.0,27.0,1365.0,8.097542589199752e-05,0.00016195085178399504,0.41365979381443296,417
gemma,Long_Term_Orientation,1.0,4.0,1998.0,1.0079561245057828e-15,5.0397806225289144e-15,0.6608097784568373,423
gemma,Long_Term_Orientation,1.0,12.0,5349.0,0.50928315777871,0.50928315777871,0.05536423841059601,423
gemma,Long_Term_Orientation,1.0,27.0,7086.0,1.2962312475375023e-05,3.888693742612507e-05,0.3222381635581062,423
gemma,Long_Term_Orientation,4.0,12.0,1197.0,1.6375113949807757e-18,9.825068369884655e-18,0.7608630506442913,423
gemma,Long_Term_Orientation,4.0,27.0,3117.0,0.017315056014862253,0.034630112029724505,0.2208473940757405,423
gemma,Long_Term_Orientation,12.0,27.0,2556.0,4.617623854545313e-09,1.8470495418181253e-08,0.5103448275862069,423
gemma,Masculinity,1.0,4.0,4734.0,0.00010999428518423566,0.0001702868633462369,0.30865279299014237,435
gemma,Masculinity,1.0,12.0,3060.0,0.0001702868633462369,0.0001702868633462369,0.33333333333333337,435
gemma,Masculinity,1.0,27.0,2715.0,1.1321117928208224e-22,5.660558964104112e-22,0.7243794731231917,435
gemma,Masculinity,4.0,12.0,1684.5,4.916581928333457e-13,1.474974578500037e-12,0.648733187363153,435
